ondevice,title,authors,#kobo_percent_read,#kobo_last_read,timestamp,languages,series,size,rating,tags,publisher,pubdate,last_modified,id,formats,path,#kobo_reading_location,#kobo_time_spent_reading,#kobo_rest_of_book_estimate
,Outwitting the Devil,Napoleon Hill,,,2021-12-10 17:55:35+00:00,eng,,683260,,ebook | book,Sterling,2011-06-06 22:00:00+00:00,2026-04-15 15:22:58+00:00,368,EPUB,Napoleon Hill/Outwitting the Devil (368),,,
,Radical Candor,Kim Scott,,,2021-12-10 17:55:36+00:00,eng,,4906380,,,St. Martin's Press,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,369,EPUB,Kim Scott/Radical Candor (369),,,
,Ender in Exile,Orson Scott Card,100,2022-03-13 00:00:00+00:00,2021-12-10 19:02:47+00:00,eng,Ender saga,556799,8,sf,,2008-03-05 21:00:00+00:00,2026-04-15 15:22:58+00:00,380,EPUB | MOBI,Orson Scott Card/Ender in Exile (380),,,
,"Atomic Habits: Tiny Changes, Remarkable Results",James Clear,100,2022-11-27 00:00:00+00:00,2021-12-10 17:55:36+00:00,eng,,4753022,10,,Penguin Publishing Group,2018-10-16 00:00:00+00:00,2026-04-15 18:03:07+00:00,370,EPUB,"James Clear/Atomic Habits_ Tiny Changes, Remark (370)",,,
,Earth Afire (First Formic War),Orson Scott Card | Aaron Johnston,100,2021-12-26 00:00:00+00:00,2021-12-10 18:39:36+00:00,eng,First formic wars,3673547,10,,"Little, Brown Book Group",2013-06-03 22:00:00+00:00,2026-04-15 15:32:56+00:00,376,AZW3 | KEPUB,Orson Scott Card/Earth Afire (First Formic War) (376),,,
,Earth Unaware (First Formic War),Orson Scott Card | Aaron Johnston,100,2021-12-17 00:00:00+00:00,2021-12-10 18:39:49+00:00,eng,First formic wars,2912604,10,,"Little, Brown Book Group",2013-06-03 22:00:00+00:00,2026-04-15 15:32:35+00:00,377,AZW3 | KEPUB,Orson Scott Card/Earth Unaware (First Formic War) (377),,,
,Earth Awakens (First Formic War),Orson Scott Card | Aaron Johnston,100,2022-01-04 00:00:00+00:00,2021-12-10 18:39:50+00:00,eng,First formic wars,3540598,10,,"Little, Brown Book Group",2014-06-09 22:00:00+00:00,2026-04-15 15:32:57+00:00,378,AZW3 | KEPUB,Orson Scott Card/Earth Awakens (First Formic War) (378),,,
,Les tenebres i l'alba,Ken Follett,100,2023-01-26 00:00:00+00:00,2021-12-11 10:37:36+00:00,cat,Els pilars de la terra,1873416,10,,Rosa dels Vents,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,382,EPUB | MOBI,Ken Follett/Les tenebres i l'alba (382),,,
,La caiguda dels gegants (The Century 1),Ken Follett,,,2021-12-11 10:44:26+00:00,cat,The Century,1474870,,,Rosa dels Vents,2015-06-24 22:00:00+00:00,2026-04-15 15:22:58+00:00,383,EPUB | MOBI,Ken Follett/La caiguda dels gegants (The Centur (383),,,
,El llindar de l'eternitat (The Century 3),Ken Follett,,,2021-12-18 17:32:52+00:00,cat,The Century,1988539,,,Rosa dels Vents,2019-08-27 22:00:00+00:00,2026-04-15 15:22:58+00:00,384,EPUB | MOBI,Ken Follett/El llindar de l'eternitat (The Cent (384),,,
,The Hive (The Second Formic War),Orson Scott Card | Aaron Johnston,100,2022-01-25 00:00:00+00:00,2022-01-05 18:27:29+00:00,eng,The Second Formic War,905024,10,,Tom Doherty Associates,2019-06-10 22:00:00+00:00,2026-04-15 15:32:48+00:00,385,AZW3 | KEPUB,Orson Scott Card/The Hive (The Second Formic War) (385),,,
,The Swarm: 1 (The Second Formic War),Orson Scott Card | Aaron Johnston,100,2022-01-14 00:00:00+00:00,2022-01-05 18:27:29+00:00,eng,The Second Formic War,862988,10,,Tom Doherty Associates,2016-08-01 22:00:00+00:00,2026-04-15 15:32:55+00:00,386,AZW3 | KEPUB,Orson Scott Card/The Swarm_ 1 (The Second Formic War (386),,,
,Wanting,Luke Burgis,,,2022-01-29 12:02:42+00:00,eng,,11957884,,,,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,387,EPUB | MOBI,Luke Burgis/Wanting (387),,,
,The Culture Map,Erin Meyer,100,2023-02-14 00:00:00+00:00,2022-01-29 12:30:24+00:00,eng,,2649512,10,,PublicAffairs,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,388,EPUB | MOBI,Erin Meyer/The Culture Map (388),,,
