ondevice,title,authors,#kobo_percent_read,#kobo_last_read,timestamp,languages,series,size,rating,tags,publisher,pubdate,last_modified,id,formats,path,#kobo_reading_location,#kobo_time_spent_reading,#kobo_rest_of_book_estimate
,Fahrenheit 451 (Italian Edition),Ray Bradbury,100,2024-07-21 00:00:00+00:00,2024-05-26 18:19:30+00:00,ita,,260204,8,,Mondadori,2015-03-17 23:00:00+00:00,2026-04-15 15:33:29+00:00,524,AZW3 | KEPUB,Ray Bradbury/Fahrenheit 451 (Italian Edition) (524),,,
,Fire & Blood (A Song of Ice and Fire),George R. R. Martin,,,2024-06-06 14:01:54+00:00,eng,,7386437,,,Random House Publishing Group,2018-11-19 17:00:00+00:00,2026-04-15 15:22:58+00:00,525,EPUB | MOBI,George R. R. Martin/Fire & Blood (A Song of Ice and Fir (525),,,
,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones (A Song of Ice and Fire),George R.R. Martin | Elio Garcia | Linda Antonsson,,,2024-06-06 14:01:54+00:00,eng,,22603640,,,Random House Publishing Group,2014-10-27 22:00:00+00:00,2026-04-15 15:22:58+00:00,526,AZW3,George R.R. Martin/The World of Ice & Fire_ The Untold (526),,,
,Bookshops & Bonedust (Legends & Lattes),Travis Baldree,100,2024-07-03 00:00:00+00:00,2024-06-09 19:05:12+00:00,eng,Legends & Lattes,1873753,6,,Tor Publishing Group,2023-11-06 23:00:00+00:00,2026-04-15 15:22:58+00:00,527,EPUB | MOBI,Travis Baldree/Bookshops & Bonedust (Legends & Lat (527),,,
,Dragons of Winter Night,Margaret Weis; Tracy Hickman,,,2024-06-16 17:35:45+00:00,eng,Dragonlance Chronicles,3239734,,Fantasy,TSR,2008-12-15 10:00:00+00:00,2026-04-15 15:33:32+00:00,528,KEPUB | MOBI,Margaret Weis; Tracy Hickman/Dragons of Winter Night (528),,,
,War of the Twins,Margaret Weis; Tracy Hickman,,,2024-06-16 17:35:45+00:00,eng,Dragonlance Legends,606445,,Dragonlance,Wizards of the Coast,2008-12-17 05:00:00+00:00,2026-04-15 15:22:58+00:00,529,EPUB | MOBI,Margaret Weis; Tracy Hickman/War of the Twins (529),,,
,Dragons of Autumn Twilight,Margaret Weis; Tracy Hickman,,,2024-06-16 17:35:45+00:00,eng,Dragonlance Chronicles,3679251,,Fantasy,TSR,2008-12-03 10:00:00+00:00,2026-04-15 15:33:34+00:00,530,KEPUB | MOBI,Margaret Weis; Tracy Hickman/Dragons of Autumn Twilight (530),,,
,Dragons of Spring Dawning,Margaret Weis; Tracy Hickman,,,2024-06-16 17:35:45+00:00,eng,Dragonlance Chronicles,3970944,,,Rebound by Sagebrush,2008-11-11 05:00:00+00:00,2026-04-15 15:33:31+00:00,531,KEPUB | MOBI,Margaret Weis; Tracy Hickman/Dragons of Spring Dawning (531),,,
,Test of the Twins,Margaret Weis; Tracy Hickman,,,2024-06-16 17:35:45+00:00,eng,Dragonlance Legends,484590,,General | Fiction | Fantasy | Fantasy Fiction | Fantasy - General | Fiction - Fantasy | American | Twins | Krynn (Imaginary place),Wizards of the Coast,2008-12-18 05:00:00+00:00,2026-04-15 15:33:30+00:00,532,KEPUB | MOBI,Margaret Weis; Tracy Hickman/Test of the Twins (532),,,
,Time of the Twins,Margaret Weis; Tracy Hickman,,,2024-06-16 17:35:45+00:00,eng,Dragonlance Legends,632023,,General | Science Fiction | Fiction | Fantasy | Fantasy Fiction | Fantasy - General | Fiction - Fantasy | Science Fiction & Fantasy | Imaginary wars and battles | Fantasy - Series | Twins | Krynn (Imaginary place),Wizards of the Coast,2008-12-17 05:00:00+00:00,2026-04-15 15:33:32+00:00,533,KEPUB | MOBI,Margaret Weis; Tracy Hickman/Time of the Twins (533),,,
,The Well of Ascension,Brandon Sanderson,100,2024-08-13 00:00:00+00:00,2024-08-14 10:13:34+00:00,eng,Mistborn,2521802,10,Retail,,2013-09-03 22:00:00+00:00,2026-04-15 18:03:07+00:00,534,EPUB | MOBI,Brandon Sanderson/The Well of Ascension (534),,5,
,The Final Empire,Brandon Sanderson,100,2024-08-01 00:00:00+00:00,2024-08-14 10:22:43+00:00,eng,Mistborn,2148077,10,,Tor Books,2009-12-02 05:00:00+00:00,2026-04-15 18:03:07+00:00,535,EPUB | MOBI,Brandon Sanderson/The Final Empire (535),,,
,The Hero of Ages,Brandon Sanderson,100,2024-08-25 00:00:00+00:00,2024-08-14 10:28:53+00:00,eng,Mistborn,1547283,10,,Tor Fantasy,2009-12-02 05:00:00+00:00,2026-04-15 18:03:07+00:00,537,KEPUB | MOBI,Brandon Sanderson/The Hero of Ages (537),,,
,La Paura del Saggio,Patrick Rothfuss,,,2024-09-10 11:08:44+00:00,ita,Le cronache dell'assassino del re,3918090,,Fiction | General | Fantasy,Fanucci,2011-07-14 22:00:00+00:00,2026-04-15 15:33:37+00:00,538,KEPUB | MOBI,Patrick Rothfuss/La Paura del Saggio (538),,,
,Dawnshard,Brandon Sanderson,100,2025-05-14 00:00:00+00:00,2024-11-11 12:32:22+00:00,eng,Stormlight Archive,2251928,8,,"Dragonsteel Entertainment, LLC",2020-11-04 23:00:00+00:00,2026-04-15 18:03:07+00:00,539,EPUB | MOBI,Brandon Sanderson/Dawnshard (539),,,
,The Way of Kings,Brandon Sanderson,100,2024-12-26 00:00:00+00:00,2024-11-11 12:32:22+00:00,eng,Stormlight Archive,4522110,10,Fantasy,,2010-09-14 23:00:00+00:00,2026-04-15 18:03:07+00:00,540,EPUB | MOBI,Brandon Sanderson/The Way of Kings (540),,,
,Words of Radiance,"Sanderson, Brandon",100,2025-01-31 00:00:00+00:00,2024-11-11 12:32:22+00:00,eng,Stormlight Archive,7700514,10,,Tom Doherty Associates,2014-03-04 09:00:00+00:00,2026-04-15 15:22:58+00:00,541,EPUB | MOBI,"Sanderson, Brandon/Words of Radiance (541)",,,
,Edgedancer,Brandon Sanderson,100,2025-03-04 00:00:00+00:00,2024-11-11 12:32:22+00:00,eng,Stormlight Archive,5223806,8,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 18:03:07+00:00,542,EPUB | MOBI,Brandon Sanderson/Edgedancer (542),,,
,Rhythm of War,Brandon Sanderson,100,2025-06-23 00:00:00+00:00,2024-11-11 12:36:03+00:00,eng,Stormlight Archive,24668929,10,,Macmillan,2020-11-17 13:00:30+00:00,2026-04-15 18:03:07+00:00,543,EPUB | MOBI,Brandon Sanderson/Rhythm of War (543),,,
,Oathbringer,Brandon Sanderson,100,2025-04-28 00:00:00+00:00,2024-11-11 12:37:08+00:00,eng,Stormlight Archive,23801053,10,Fantasy,Tor; Tom Doherty Associates,2017-01-01 16:00:00+00:00,2026-04-15 18:03:07+00:00,544,EPUB | MOBI,Brandon Sanderson/Oathbringer (544),,,
,Onyx Storm (The Empyrean Book 3),Rebecca Yarros,100,2025-02-14 00:00:00+00:00,2025-01-22 17:38:29+00:00,eng,The Empyrean,1542040,8,,"Little, Brown Book Group",2025-01-20 23:00:00+00:00,2026-04-15 15:31:10+00:00,545,AZW3 | KEPUB,Rebecca Yarros/Onyx Storm (The Empyrean Book 3) (545),,,
,L'ultimo impero,Brandon Sanderson,,,2025-06-23 10:34:55+00:00,ita,Mistborn,1403261,,Mistborn - vol. 1,Fanucci,2016-05-11 22:00:00+00:00,2026-04-15 15:22:58+00:00,546,EPUB | MOBI,Brandon Sanderson/L'ultimo impero (546),,,
,Sunrise on the Reaping,Suzanne Collins,100,2025-08-18 00:00:00+00:00,2025-06-23 10:34:55+00:00,eng,Hunger Games,5748071,10,,,2024-11-06 20:37:44+00:00,2026-04-15 15:22:58+00:00,547,EPUB | MOBI,Suzanne Collins/Sunrise on the Reaping (547),,,
,Wind and Truth,Brandon Sanderson,100,2025-07-30 00:00:00+00:00,2025-06-23 10:34:55+00:00,eng,Stormlight Archive,37094679,10,,Orion,2024-12-05 18:30:00+00:00,2026-04-15 18:03:07+00:00,548,EPUB | MOBI,Brandon Sanderson/Wind and Truth (548),,,
,Same as Ever: A Guide to What Never Changes,Morgan Housel,,,2025-06-24 08:54:03+00:00,eng,,798540,,,Penguin Publishing Group,2023-11-07 00:00:00+00:00,2026-04-15 15:22:58+00:00,549,EPUB | MOBI,Morgan Housel/Same as Ever_ A Guide to What Never (549),,,
,The Dictator's Handbook: Why Bad Behavior Is Almost Always Good Politics,Bruce Bueno de Mesquita | Alastair Smith,100,2025-09-17 00:00:00+00:00,2025-06-24 08:57:10+00:00,eng,,739619,6,General | Political | Political Science | Philosophy | Political Ideologies | Political Process | Fascism & Totalitarianism | Leadership,PublicAffairs,2012-07-30 00:00:00+00:00,2026-04-15 15:22:58+00:00,550,EPUB | MOBI,Bruce Bueno de Mesquita/The Dictator's Handbook_ Why Bad Be (550),,,
,She and Her Cat: Stories,Makoto Shinkai | Naruki Nagakawa,100,2026-03-14 00:00:00+00:00,2025-06-24 08:58:56+00:00,eng,,2425390,6,,Atria Books,2022-11-22 00:00:00+00:00,2026-04-15 15:22:58+00:00,551,EPUB | MOBI,Makoto Shinkai/She and Her Cat_ Stories (551),,,
,L’hivern del món,Ken Follett,,,2025-06-24 08:59:34+00:00,cat,The Century,1612119,,Novel·la | Història,ePUBCat,2011-12-31 22:00:00+00:00,2026-04-15 15:22:58+00:00,552,EPUB | MOBI,Ken Follett/L'hivern del mon (552),,,
,The Power Of The Dog,Don Winslow,,,2025-06-24 09:01:25+00:00,eng,,1123420,,Historical | Mystery | Suspense | thriller | Crime | Politics,Vintage,2005-04-26 00:00:00+00:00,2026-04-15 15:22:58+00:00,554,EPUB | MOBI,Don Winslow/The Power Of The Dog (554),,,
,Alone at the Top (Spanish Edition),"Sisí, Carlos",,,2025-06-24 09:02:20+00:00,spa,,3575006,,,,2024-12-03 22:00:00+00:00,2026-04-15 15:22:58+00:00,555,EPUB | MOBI,"Sisi, Carlos/Alone at the Top (Spanish Edition) (555)",,,
,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings | Erin Meyer,100,2025-12-12 00:00:00+00:00,2025-06-24 09:03:41+00:00,eng,,8966520,10,,Penguin Publishing Group,2020-09-08 00:00:00+00:00,2026-04-15 15:22:58+00:00,556,EPUB | MOBI,Reed Hastings/No Rules Rules_ Netflix and the Cul (556),,,
,A Beautiful Mind,Sylvia Nasar,,,2025-06-24 09:04:27+00:00,eng,,2403256,,,Faber & Faber,2012-11-15 14:08:12+00:00,2026-04-15 15:22:58+00:00,557,EPUB | MOBI,Sylvia Nasar/A Beautiful Mind (557),,,
,L’armadura de la llum,Ken Follett,,,2025-06-24 09:05:00+00:00,cat,Els pilars de la terra,2206715,,Novel·la | Història,ePUBCat,2022-12-31 22:00:00+00:00,2026-04-15 15:22:58+00:00,558,EPUB | MOBI,Ken Follett/L'armadura de la llum (558),,,
,Side Hustles For Dummies®,Alan Simon,,,2025-09-11 09:48:56+00:00,eng,,17890907,,,,2022-04-07 00:00:00+00:00,2026-04-15 15:22:58+00:00,568,EPUB | PDF,Alan Simon/Side Hustles For Dummies(r) (568),,,
,Self-Defense For Dummies®,Damian Ross,,,2025-09-11 09:48:56+00:00,eng,,17180591,,,,2023-10-16 00:00:00+00:00,2026-04-15 15:22:58+00:00,569,EPUB | PDF,Damian Ross/Self-Defense For Dummies(r) (569),,,
,Decluttering For Dummies®,Jane Stoller,,,2025-09-11 09:51:19+00:00,eng,,38174918,,,,2019-11-06 00:00:00+00:00,2026-04-15 15:22:58+00:00,572,EPUB | PDF,Jane Stoller/Decluttering For Dummies(r) (572),,,
,Come sempre,Morgan Housel,,,2025-09-11 09:51:34+00:00,ita,,883849,,,Hoepli,2024-01-27 00:00:00+00:00,2026-04-15 15:22:58+00:00,574,EPUB | MOBI,Morgan Housel/Come sempre (574),,,
,Ametlla,Sohn Won-pyung,100,2025-08-15 00:00:00+00:00,2025-09-11 09:51:37+00:00,cat,,312726,10,Novela | Drama,ePubLibre,2016-12-31 23:00:00+00:00,2026-04-15 18:03:07+00:00,575,EPUB | MOBI,Sohn Won-pyung/Ametlla (575),,,
,Delta Lake: The Definitive Guide,"Denny Lee, Tathagata Das | Vini Jaiswal",,,2025-09-11 09:52:00+00:00,,,11874002,,,,2021-05-17 13:16:59+00:00,2026-04-15 15:22:58+00:00,576,PDF,"Denny Lee, Tathagata Das/Delta Lake_ The Definitive Guide (576)",,,
,Artificial Condition,Martha Wells,,,2025-09-11 09:52:11+00:00,eng,The Murderbot Diaries,1203403,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,577,EPUB,Martha Wells/Artificial Condition (577),,,
,All Systems Red,Martha Wells,,,2025-09-11 09:52:11+00:00,eng,The Murderbot Diaries,3202225,,,Tor.com,2021-01-05 00:00:00+00:00,2026-04-15 15:22:58+00:00,578,EPUB,Martha Wells/All Systems Red (578),,,
,City of Bones,Martha Wells,,,2025-09-11 09:52:11+00:00,eng,,2943561,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,579,EPUB,Martha Wells/City of Bones (579),,,
,Wheel of the Infinite,Martha Wells,,,2025-09-11 09:52:11+00:00,eng,,3222096,,,Tor Publishing Group,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,580,EPUB,Martha Wells/Wheel of the Infinite (580),,,
,Witch King,Martha Wells,,,2025-09-11 09:52:12+00:00,eng,The Rising World,5786086,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,581,EPUB,Martha Wells/Witch King (581),,,
,The Emilie Adventures,Martha Wells,,,2025-09-11 09:52:12+00:00,eng,,4252493,,,Tor Publishing Group,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,582,EPUB,Martha Wells/The Emilie Adventures (582),,,
,The Book of Ile-Rien,Martha Wells,,,2025-09-11 09:52:12+00:00,eng,,3467863,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,583,EPUB,Martha Wells/The Book of Ile-Rien (583),,,
,Rogue Protocol,Martha Wells,,,2025-09-11 09:52:12+00:00,eng,The Murderbot Diaries,2499936,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,584,EPUB,Martha Wells/Rogue Protocol (584),,,
,"Rapport: Friendship, Solidarity, Communion, Empathy",Martha Wells,,,2025-09-11 09:52:12+00:00,eng,The Murderbot Diaries,2702657,,,Tor Publishing Group,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,585,EPUB,"Martha Wells/Rapport_ Friendship, Solidarity, Co (585)",,,
,"Home: Habitat, Range, Niche, Territory",Martha Wells,,,2025-09-11 09:52:13+00:00,eng,The Murderbot Diaries,1212886,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,586,EPUB,"Martha Wells/Home_ Habitat, Range, Niche, Territ (586)",,,
,Network Effect,Martha Wells,,,2025-09-11 09:52:13+00:00,eng,The Murderbot Diaries,2446964,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,587,EPUB,Martha Wells/Network Effect (587),,,
,System Collapse,Martha Wells,,,2025-09-11 09:52:13+00:00,eng,The Murderbot Diaries,2329632,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,588,EPUB,Martha Wells/System Collapse (588),,,
,Fugitive Telemetry,Martha Wells,,,2025-09-11 09:52:13+00:00,eng,The Murderbot Diaries,1309049,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,589,EPUB,Martha Wells/Fugitive Telemetry (589),,,
,Exit Strategy,Martha Wells,,,2025-09-11 09:52:13+00:00,eng,The Murderbot Diaries,2631061,,,Tom Doherty Associates,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,590,EPUB,Martha Wells/Exit Strategy (590),,,
,Among the Burning Flowers,Samantha Shannon,,,2025-10-03 13:18:50+00:00,eng,The roots of chaos,4348268,,,Bloomsbury Publishing,2025-07-14 00:00:00+00:00,2026-04-15 15:22:58+00:00,593,EPUB | MOBI,Samantha Shannon/Among the Burning Flowers (593),,,
,Il Ciclo dei Demoni. Volume 2,Peter V. Brett,,,2025-10-03 13:19:51+00:00,ita,,30458979,,,"© 2025 Mondadori Libri S.p.A., Milano",0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,594,EPUB | MOBI,Peter V. Brett/Il Ciclo dei Demoni. Volume 2 (594),,,
,Ciclo dei demoni,Peter V. Brett,,,2025-10-03 13:19:51+00:00,ita,,46338902,,Fiction | Fantasy | General,♦ Edizioni Mondadori,2021-09-13 22:00:00+00:00,2026-04-15 15:22:58+00:00,595,EPUB | MOBI,Peter V. Brett/Ciclo dei demoni (595),,,
,Dungeon Crawler Carl,Matt Dinniman,100,2025-12-27 00:00:00+00:00,2025-10-03 13:22:12+00:00,eng,Dungeon Crawler Carl,1156035,,LitRPG | Apocalyptic | Humor,Dandy House,2020-10-02 04:00:00+00:00,2026-04-15 15:22:58+00:00,596,EPUB | MOBI,Matt Dinniman/Dungeon Crawler Carl (596),,,
,The Dungeon Anarchist's Cookbook: Dungeon Crawler Carl Book 3,Matt Dinniman,100,2026-01-02 00:00:00+00:00,2025-10-03 13:23:25+00:00,eng,Dungeon Crawler Carl,1475966,8,,Dandy House,2021-04-01 16:00:00+00:00,2026-04-15 15:22:58+00:00,597,EPUB | MOBI,Matt Dinniman/The Dungeon Anarchist's Cookbook_ D (597),,,
,The Gate of the Feral Gods: Dungeon Crawler Carl Book 4,Matt Dinniman,100,2026-01-10 00:00:00+00:00,2025-10-03 13:23:25+00:00,eng,Dungeon Crawler Carl,1591621,8,,Dandy House,2021-06-30 16:00:00+00:00,2026-04-15 15:22:58+00:00,598,EPUB | MOBI,Matt Dinniman/The Gate of the Feral Gods_ Dungeon (598),,,
,The Butcher's Masquerade: Dungeon Crawler Carl Book 5,Matt Dinniman,100,2026-01-21 00:00:00+00:00,2025-10-03 13:23:25+00:00,eng,Dungeon Crawler Carl,1046761,10,,Dandy House,2022-02-27 16:00:00+00:00,2026-04-15 15:22:58+00:00,599,EPUB | MOBI,Matt Dinniman/The Butcher's Masquerade_ Dungeon C (599),,,
,Carl's Doomsday Scenario: Dungeon Crawler Carl Book 2,Matt Dinniman,100,2025-12-30 00:00:00+00:00,2025-10-05 09:48:50+00:00,eng,Dungeon Crawler Carl,537940,10,,Dandy House,2021-01-05 16:00:00+00:00,2026-04-15 15:22:58+00:00,601,EPUB | MOBI,Matt Dinniman/Carl's Doomsday Scenario_ Dungeon C (601),,,
,The Eye of the Bedlam Bride: Dungeon Crawler Carl Book 6,Matt Dinniman,100,2026-02-06 00:00:00+00:00,2025-10-05 09:48:50+00:00,eng,Dungeon Crawler Carl,1245180,10,,Dandy House,2023-07-01 16:00:00+00:00,2026-04-15 15:22:58+00:00,602,EPUB | MOBI,Matt Dinniman/The Eye of the Bedlam Bride_ Dungeo (602),,,
,The Art of Spending Money: Simple Choices for a Richer Life,Morgan Housel,100,2025-10-23 00:00:00+00:00,2025-10-08 16:36:24+00:00,eng,,1081586,8,,Penguin Publishing Group,2025-10-07 00:00:00+00:00,2026-04-15 15:22:58+00:00,604,EPUB | MOBI,Morgan Housel/The Art of Spending Money_ Simple C (604),,,
,This Inevitable Ruin: Dungeon Crawler Carl Book 7,Matt Dinniman,100,2026-02-18 00:00:00+00:00,2026-02-07 18:14:43+00:00,eng,Dungeon Crawler Carl,3670605,10,,Dandy House,2024-11-11 00:00:00+00:00,2026-04-15 15:22:58+00:00,621,AZW3 | EPUB | MOBI,Matt Dinniman/This Inevitable Ruin_ Dungeon Crawl (621),,,
,Project Hail Mary,Andy Weir,100,2026-02-26 00:00:00+00:00,2026-02-07 18:25:16+00:00,eng,,4788848,10,,Random House Publishing Group,2021-05-03 23:00:00+00:00,2026-04-15 15:31:09+00:00,622,AZW3 | KEPUB,Andy Weir/Project Hail Mary (622),,,
,The Martian,Andy Weir,,,2026-02-07 18:25:39+00:00,eng,,1093282,,Novela | aventuras | Ciencia ficción,ePubLibre,2011-12-31 23:00:00+00:00,2026-04-15 15:22:58+00:00,623,EPUB | MOBI,Andy Weir/The Martian (623),,,
,The Wealth Ladder: Proven Strategies for Every Step of Your Financial Life,Nick Maggiulli,100,2025-08-06 00:00:00+00:00,2026-02-07 18:27:40+00:00,eng,,5689632,10,,Penguin Publishing Group,2025-07-22 00:00:00+00:00,2026-04-15 15:22:58+00:00,624,EPUB | MOBI,Nick Maggiulli/The Wealth Ladder_ Proven Strategie (624),,,
,The Redemption of Time: A Three-Body Problem Novel,Baoshu,,,2026-02-08 10:52:07+00:00,eng,,1080406,,Fiction | Science Fiction | Alien Contact | Hard Science Fiction | World Literature | China | 21st Century,Tor Publishing Group,2019-07-15 23:00:00+00:00,2026-04-15 15:31:07+00:00,625,AZW3 | KEPUB,Baoshu/The Redemption of Time_ A Three-Bod (625),,,
,Lei e il suo gatto,"Shinkai Makoto, Nagakawa Naruki | Nagakawa Naruki",,,2026-03-12 18:58:57+00:00,ita,,586605,,,Einaudi,2021-11-22 12:00:00+00:00,2026-04-15 15:22:58+00:00,626,EPUB | MOBI,"Shinkai Makoto, Nagakawa Naruki/Lei e il suo gatto (626)",,,
,Your name (Kimi no na wa),Makoto Shinkai,,,2026-03-12 18:58:57+00:00,ita,,291873,8,Fiction | General,Edizioni BD,2017-11-15 09:41:14+00:00,2026-04-15 15:22:58+00:00,627,EPUB | MOBI,Makoto Shinkai/Your name (Kimi no na wa) (627),,,
,Your Name.,Makoto Shinkai,100,2026-03-31 00:00:00+00:00,2026-03-12 18:58:58+00:00,eng,,911097,6,Novela | Drama | Fantástico | Juvenil,ePubLibre,2016-06-17 22:00:00+00:00,2026-04-15 15:22:58+00:00,628,EPUB | MOBI,Makoto Shinkai/Your Name_ (628),,,
,Dungeon Crawler Carl,Matt Dinniman,100,2025-12-27 00:00:00+00:00,2026-03-12 19:22:53+00:00,ita,,1875643,10,,Mercurio S.r.l. 2025,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,629,EPUB | MOBI,Matt Dinniman/Dungeon Crawler Carl (629),,,
,Operation Bounce House,Matt Dinniman,100,2026-04-09 00:00:00+00:00,2026-04-01 20:34:39+00:00,eng,,3996797,10,Science Fiction | Fantasy | Humour | Adult,Ace,2026-02-10 06:00:00+00:00,2026-04-15 15:22:58+00:00,630,EPUB | MOBI,Matt Dinniman/Operation Bounce House (630),,,
